sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,r_charge_degree,r_days_from_arrest,r_offense_date,r_jail_in,violent_recid,is_violent_recid,vr_charge_degree,vr_offense_date,score_text,screening_date,v_decile_score,v_score_text,event
Male,21,Less than 25,Caucasian,0,3,0,0,1,428.0,06/01/2015 3:55,07/01/2015 3:38,308.0,(F2),Insurance Fraud,1,(M1),0.0,06/01/2015,06/01/2015,,1,(F2),06/01/2015,Low,04/11/2013,5,Medium,1
Male,27,25 - 45,Caucasian,0,4,0,0,0,-1.0,25/11/2013 6:31,26/11/2013 8:26,1.0,(F3),"Poss 3,4 MDMA (Ecstasy)",0,,,,,,0,,,Low,26/11/2013,4,Low,0
Male,23,Less than 25,African-American,0,6,0,0,3,0.0,03/10/2013 4:07,07/10/2013 8:17,0.0,(M1),Battery,1,(M2),,08/02/2014,,,0,,,Medium,03/10/2013,4,Low,0
Female,37,25 - 45,Caucasian,0,1,0,0,0,0.0,01/01/2013 3:28,02/01/2013 1:12,0.0,(M1),Battery,0,,,,,,0,,,Low,01/01/2013,1,Low,0
Male,22,Less than 25,Caucasian,0,3,0,0,0,0.0,31/07/2014 2:05,31/07/2014 8:33,0.0,(M1),Battery,0,,,,,,0,,,Low,31/07/2014,5,Medium,0
Male,41,25 - 45,African-American,0,4,0,0,0,-1.0,08/10/2013 11:53,09/10/2013 2:16,1.0,(F3),"Poss3,4 Methylenedioxymethcath",0,,,,,,0,,,Low,09/10/2013,2,Low,0
Female,47,Greater than 45,Caucasian,0,1,0,0,1,-20.0,10/10/2013 5:12,24/10/2013 11:30,490.0,(F3),arrest case no charge,1,(F3),0.0,03/06/2014,03/06/2014,,0,,,Low,30/10/2013,1,Low,0
Male,31,25 - 45,African-American,0,3,0,0,7,22.0,25/06/2014 2:15,28/06/2014 5:02,71.0,(F3),Felony Driving While Lic Suspd,1,(M1),0.0,25/06/2014,25/06/2014,,0,,,Low,03/06/2014,2,Low,0
Male,37,25 - 45,Hispanic,0,1,0,0,0,0.0,24/03/2014 3:20,24/03/2014 9:09,0.0,(M1),Battery,0,,,,,,0,,,Low,24/03/2014,1,Low,0
Male,25,25 - 45,African-American,0,10,0,0,3,-1.0,21/12/2013 5:42,22/12/2013 9:11,1.0,(F3),Grand Theft in the 3rd Degree,0,,,,,,0,,,High,22/12/2013,9,High,0
Male,31,25 - 45,Caucasian,0,5,0,0,6,-1.0,16/11/2013 7:12,17/11/2013 8:28,1.0,(F3),Driving While License Revoked,1,(F3),,16/07/2014,,,1,(F1),16/07/2014,Medium,17/11/2013,4,Low,1
Male,31,25 - 45,Caucasian,0,3,0,0,5,-1.0,14/11/2014 1:37,15/11/2014 4:57,1.0,(F3),Possession Of Heroin,1,(F3),1.0,27/04/2015,28/04/2015,,0,,,Low,15/11/2014,2,Low,0
Male,64,Greater than 45,African-American,0,6,0,0,13,-1.0,01/05/2014 6:49,02/05/2014 9:28,1.0,(F3),arrest case no charge,1,(F2),0.0,03/05/2014,03/05/2014,,0,,,Medium,02/05/2014,3,Low,0
Male,21,Less than 25,African-American,0,9,0,0,1,-1.0,17/04/2013 1:40,20/04/2013 4:19,1.0,(F3),Battery on Law Enforc Officer,1,(M2),0.0,18/05/2013,18/05/2013,,0,,,High,18/04/2013,9,High,0
Male,27,25 - 45,Caucasian,0,2,0,0,0,0.0,16/10/2014 5:43,16/10/2014 12:40,0.0,(M1),Possession Of Methamphetamine,1,(M2),,05/01/2015,,,0,,,Low,16/10/2014,3,Low,0
Female,21,Less than 25,Caucasian,0,4,0,0,0,-2.0,20/11/2013 4:12,21/11/2013 7:53,2.0,(F3),Introduce Contraband Into Jail,0,,,,,,0,,,Low,22/11/2013,5,Medium,0
Male,24,Less than 25,African-American,0,-1,0,0,2,0.0,16/10/2014 2:13,17/10/2014 3:38,0.0,(F3),Poss Pyrrolidinovalerophenone,1,(M2),,12/01/2015,,,0,,,,16/10/2014,6,Medium,0
Male,24,Less than 25,Hispanic,0,4,0,0,1,0.0,08/02/2013 4:50,09/02/2013 4:43,1.0,(F3),Lewd/Lasc Battery Pers 12+/<16,1,(M1),,26/03/2014,,,0,,,Low,08/02/2013,5,Medium,0
Male,42,25 - 45,Caucasian,0,3,0,0,1,-132.0,24/07/2014 12:09,06/11/2014 5:57,133.0,(F1),Trafficking In Methamphetamine,0,,,,,,0,,,Low,03/12/2014,1,Low,0
Male,43,25 - 45,Caucasian,0,1,0,0,1,-1.0,24/01/2013 3:43,25/01/2013 9:12,1.0,(M2),Susp Drivers Lic 1st Offense,0,,,,,,0,,,Low,25/01/2013,2,Low,0
Male,32,25 - 45,Other,0,3,0,0,0,-1.0,10/05/2013 8:38,12/05/2013 3:33,1.0,(M1),Battery,0,,,,,,0,,,Low,11/05/2013,4,Low,0
Female,54,Greater than 45,African-American,0,9,0,0,0,-1.0,23/05/2013 7:25,11/09/2013 5:51,1.0,(F3),"Poss3,4 Methylenedioxymethcath",0,,,,,,0,,,High,24/05/2013,5,Medium,0
Male,44,25 - 45,African-American,0,6,0,0,8,0.0,21/08/2014 3:56,21/08/2014 8:30,4296.0,(M2),arrest case no charge,0,,,,,,0,,,Medium,21/08/2014,4,Low,0
Female,49,Greater than 45,Caucasian,0,1,0,0,0,,,,,,,-1,,,,,,0,,,Low,04/03/2013,1,Low,0
Male,27,25 - 45,African-American,0,3,0,0,8,-1.0,05/05/2013 9:07,22/05/2013 9:08,1.0,(F3),Carrying Concealed Firearm,1,(M2),,06/11/2013,,,1,(F3),23/02/2015,Low,06/05/2013,3,Low,0
Female,36,25 - 45,Caucasian,0,3,0,0,3,53.0,10/05/2013 11:15,11/05/2013 7:01,95.0,(F3),arrest case no charge,0,,,,,,0,,,Low,18/03/2013,1,Low,0
Male,26,25 - 45,African-American,0,7,0,1,5,-1.0,19/02/2013 7:47,20/02/2013 6:33,1.0,(F3),Pos Cannabis W/Intent Sel/Del,1,(M1),0.0,26/07/2014,26/07/2014,,0,,,Medium,20/02/2013,7,Medium,0
Male,33,25 - 45,African-American,0,10,0,0,0,0.0,24/10/2014 12:50,01/12/2014 7:49,1.0,(F3),Tampering With Physical Evidence,1,(F3),,15/08/2015,,,1,(M1),15/08/2015,High,24/10/2014,6,Medium,0
Male,30,25 - 45,Caucasian,0,9,0,0,9,0.0,28/01/2013 2:28,13/03/2013 7:32,0.0,(F3),Felony Battery w/Prior Convict,1,(F3),0.0,09/07/2013,09/07/2013,,0,,,High,28/01/2013,10,High,0
Male,32,25 - 45,African-American,0,8,0,0,4,-1.0,14/11/2014 3:07,15/11/2014 4:56,1.0,(F3),Att Tamper w/Physical Evidence,1,(M1),1.0,21/11/2014,22/11/2014,,0,,,High,15/11/2014,3,Low,0
Male,63,Greater than 45,African-American,0,1,0,0,0,-1.0,06/12/2014 7:42,08/12/2014 4:02,1.0,(M1),Battery,0,,,,,,0,,,Low,07/12/2014,1,Low,0
Male,27,25 - 45,Hispanic,0,3,0,0,2,0.0,21/11/2014 1:19,21/11/2014 2:08,1.0,(F3),Possession of Cocaine,0,,,,,,0,,,Low,21/11/2014,3,Low,0
Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1.0,29/12/2013 6:37,31/12/2013 10:29,1.0,(F3),arrest case no charge,0,,,,,,0,,,Low,30/12/2013,1,Low,0
Male,29,25 - 45,Caucasian,0,8,0,0,0,,,,,,,-1,,,,,,0,,,High,26/02/2013,6,Medium,0
Male,32,25 - 45,African-American,0,10,0,0,15,0.0,16/09/2013 1:36,17/12/2013 6:21,0.0,(F3),Felony Petit Theft,0,,,,,,0,,,High,16/09/2013,8,High,0
Male,38,25 - 45,African-American,0,3,0,2,5,-1.0,10/01/2014 10:18,25/06/2014 3:27,1.0,(F3),Burglary Structure Assault/Batt,0,,,,,,0,,,Low,11/01/2014,4,Low,0
Male,53,Greater than 45,Caucasian,0,5,0,0,19,-1.0,19/01/2013 6:46,25/01/2013 3:31,1.0,(F3),Fel Drive License Perm Revoke,0,,,,,,0,,,Medium,20/01/2013,2,Low,0
Male,49,Greater than 45,Other,0,3,0,0,7,-1.0,03/04/2013 4:47,07/04/2013 2:54,0.0,(F3),Agg Fleeing and Eluding,1,(M1),,23/01/2015,,,0,,,Low,04/04/2013,2,Low,0
Male,26,25 - 45,Caucasian,0,8,0,2,6,81.0,29/06/2013 6:05,11/07/2013 9:02,382.0,(M2),Operating W/O Valid License,0,,,,,,0,,,High,09/04/2013,8,High,0
Female,33,25 - 45,Caucasian,0,5,0,0,4,-1.0,02/12/2013 1:48,13/12/2013 5:25,1.0,(M1),Battery,1,(F3),57.0,14/07/2014,09/09/2014,,0,,,Medium,03/12/2013,2,Low,0
Male,24,Less than 25,Caucasian,0,2,0,0,1,0.0,15/09/2013 3:47,16/09/2013 6:50,0.0,(M1),Battery,1,(F3),0.0,13/05/2014,13/05/2014,,0,,,Low,15/09/2013,3,Low,0
Male,34,25 - 45,African-American,2,9,1,3,21,0.0,11/01/2013 2:19,13/02/2013 9:33,0.0,(F2),Poss Wep Conv Felon,1,(M1),0.0,09/06/2014,09/06/2014,,0,,,High,11/01/2013,6,Medium,0
Male,29,25 - 45,Caucasian,0,2,0,0,0,0.0,16/01/2013 12:44,16/01/2013 6:49,1.0,(M1),Possess Cannabis/20 Grams Or Less,0,,,,,,0,,,Low,16/01/2013,2,Low,0
Female,21,Less than 25,African-American,0,8,0,0,2,-1.0,23/08/2013 10:37,11/11/2013 4:30,1.0,(F2),arrest case no charge,0,,,,,,0,,,High,24/08/2013,8,High,0
Male,51,Greater than 45,African-American,0,1,0,0,2,-1.0,27/02/2013 4:44,28/02/2013 8:01,1.0,(M1),Unlaw Use False Name/Identity,0,,,,,,0,,,Low,28/02/2013,1,Low,0
Male,36,25 - 45,African-American,0,1,0,0,0,,,,,,,-1,,,,,,0,,,Low,15/04/2013,1,Low,0
Male,29,25 - 45,Caucasian,0,2,0,0,2,-1.0,05/04/2014 8:45,06/04/2014 1:46,1.0,(M1),Viol Injunct Domestic Violence,1,(M1),0.0,17/06/2014,17/06/2014,,0,,,Low,06/04/2014,2,Low,0
Male,25,25 - 45,African-American,0,6,0,0,0,-1.0,22/08/2013 10:16,21/05/2014 2:37,1.0,(F2),Burglary Unoccupied Dwelling,0,,,,,,0,,,Medium,23/08/2013,7,Medium,0
Female,51,Greater than 45,African-American,0,2,0,0,7,-1.0,13/02/2013 9:29,15/02/2013 1:35,1.0,(F3),Possession of Cocaine,0,,,,,,0,,,Low,14/02/2013,2,Low,0
Male,28,25 - 45,Caucasian,0,7,0,0,8,0.0,14/09/2014 1:10,15/09/2014 3:16,0.0,(F3),Possession of Cocaine,0,,,,,,0,,,Medium,14/09/2014,4,Low,0
Male,36,25 - 45,African-American,0,9,0,0,22,-1.0,12/08/2014 3:23,25/02/2015 11:44,1.0,(M1),Burglary Dwelling Occupied,0,,,,,,0,,,High,13/08/2014,10,High,0
Male,29,25 - 45,African-American,0,7,0,0,0,0.0,03/03/2014 4:28,03/03/2014 9:10,0.0,(F3),Defrauding Innkeeper $300/More,1,(M1),1.0,03/05/2014,04/05/2014,,0,,,Medium,03/03/2014,2,Low,0
Male,29,25 - 45,Other,0,1,0,0,0,-1.0,18/06/2014 5:28,20/06/2014 1:43,2.0,(M1),Battery,0,,,,,,0,,,Low,19/06/2014,2,Low,0
Male,25,25 - 45,Caucasian,0,10,0,0,9,-1.0,27/03/2014 10:17,03/04/2014 9:27,1.0,(M1),Battery,1,(F2),0.0,05/04/2014,05/04/2014,,1,(F2),05/04/2014,High,28/03/2014,9,High,1
Male,35,25 - 45,African-American,1,8,0,4,13,-1.0,18/05/2014 4:05,19/05/2014 1:47,1.0,(F3),Uttering a Forged Instrument,1,(MO3),0.0,28/05/2014,28/05/2014,,1,(MO3),28/05/2014,High,19/05/2014,3,Low,1
Male,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,02/08/2013 4:43,02/08/2013 8:31,0.0,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,,,0,,,Low,02/08/2013,1,Low,0
Male,34,25 - 45,African-American,0,3,0,0,4,-59.0,28/10/2014 4:07,18/12/2014 9:54,59.0,(M2),Driving License Suspended,1,(M2),,09/09/2015,,,0,,,Low,26/12/2014,2,Low,0
Male,29,25 - 45,African-American,0,4,0,0,0,0.0,24/04/2013 4:28,24/04/2013 8:20,1.0,(F3),Tampering With Physical Evidence,0,,,,,,0,,,Low,24/04/2013,3,Low,0
Male,29,25 - 45,Caucasian,0,2,0,0,1,-24.0,10/05/2013 5:18,10/05/2013 7:43,24.0,(F3),Possession of Oxycodone,1,(M1),0.0,18/08/2014,18/08/2014,,0,,,Low,03/06/2013,2,Low,0
Female,28,25 - 45,Other,0,2,0,0,0,-1.0,17/11/2013 9:43,18/11/2013 8:03,1.0,(F3),Grand Theft in the 3rd Degree,0,,,,,,0,,,Low,18/11/2013,2,Low,0
Male,51,Greater than 45,Caucasian,0,2,0,0,0,-1.0,04/10/2014 11:39,29/10/2014 9:58,1.0,(F3),Grand Theft in the 3rd Degree,0,,,,,,0,,,Low,05/10/2014,1,Low,0
Male,25,25 - 45,Caucasian,0,3,0,0,0,0.0,03/06/2014 3:00,03/06/2014 8:23,0.0,(F3),Possession of Cocaine,0,,,,,,0,,,Low,03/06/2014,3,Low,0
Male,48,Greater than 45,Caucasian,0,6,0,0,20,302.0,28/02/2014 11:19,11/03/2014 2:46,562.0,(F3),arrest case no charge,1,(M2),,01/02/2014,,,0,,,Medium,02/05/2013,4,Low,0
Male,33,25 - 45,Caucasian,0,9,0,0,1,0.0,24/10/2014 5:36,25/10/2014 3:19,0.0,(F3),Grand Theft Dwell Property,0,,,,,,0,,,High,24/10/2014,10,High,0
Female,63,Greater than 45,Hispanic,0,1,0,0,1,-219.0,17/06/2013 4:04,25/06/2013 8:31,219.0,(F1),arrest case no charge,0,,,,,,0,,,Low,22/01/2014,1,Low,0
Male,30,25 - 45,African-American,0,6,0,1,3,-1.0,02/11/2014 11:52,04/11/2014 2:31,1.0,(F3),Possession of Cocaine,0,,,,,,0,,,Medium,03/11/2014,4,Low,0
Male,31,25 - 45,African-American,0,5,0,1,15,-1.0,17/03/2013 9:02,31/07/2013 8:23,1.0,(F2),Attempt Armed Burglary Dwell,1,(M2),,28/02/2016,,,0,,,Medium,18/03/2013,7,Medium,0
Male,24,Less than 25,African-American,0,4,0,0,2,-1.0,17/09/2013 7:19,19/09/2013 4:16,1.0,(F3),Poss Tetrahydrocannabinols,1,(M1),1.0,16/04/2015,17/04/2015,,0,,,Low,18/09/2013,4,Low,0
Male,27,25 - 45,African-American,0,5,0,0,0,-1.0,07/11/2014 9:08,08/11/2014 7:41,1.0,(F3),Felony Driving While Lic Suspd,0,,,,,,0,,,Medium,08/11/2014,3,Low,0
Male,32,25 - 45,Caucasian,0,8,0,0,3,-1.0,29/07/2014 6:31,30/07/2014 8:15,1.0,(F3),Tampering With Physical Evidence,0,,,,,,0,,,High,30/07/2014,2,Low,0
Male,30,25 - 45,Hispanic,0,7,0,0,0,0.0,20/01/2013 2:50,12/02/2013 9:16,0.0,(M1),Possess Cannabis/20 Grams Or Less,0,,,,,,0,,,Medium,20/01/2013,3,Low,0
Male,49,Greater than 45,African-American,0,1,0,0,4,-1.0,26/08/2013 9:16,27/08/2013 6:57,1.0,(M1),Battery,0,,,,,,0,,,Low,27/08/2013,1,Low,0
Male,53,Greater than 45,Caucasian,0,5,0,0,8,-13.0,15/05/2013 8:36,28/05/2013 10:06,13.0,(F3),arrest case no charge,0,,,,,,0,,,Medium,28/05/2013,2,Low,0
Female,31,25 - 45,Hispanic,0,1,0,0,0,-1.0,02/12/2014 3:46,02/12/2014 8:24,1.0,(M1),Battery,0,,,,,,0,,,Low,03/12/2014,1,Low,0
Male,35,25 - 45,African-American,0,3,0,0,5,-1.0,10/02/2013 7:44,11/02/2013 7:04,1.0,(F3),Driving While License Revoked,0,,,,,,0,,,Low,11/02/2013,2,Low,0
Male,63,Greater than 45,African-American,0,7,0,0,10,-38.0,03/05/2013 9:19,08/06/2013 5:22,906.0,(M1),Possess Drug Paraphernalia,1,(M2),,24/07/2013,,,0,,,Medium,10/06/2013,5,Medium,0
Male,33,25 - 45,African-American,0,1,0,0,2,-1.0,13/04/2014 7:50,14/04/2014 1:36,1.0,(F2),Agg Battery Grt/Bod/Harm,0,,,,,,0,,,Low,14/04/2014,1,Low,0
Male,27,25 - 45,African-American,1,10,1,2,15,-1.0,29/08/2014 4:58,30/08/2014 8:38,1.0,(F3),Driving While License Revoked,1,(M1),0.0,13/10/2014,13/10/2014,,0,,,High,30/08/2014,9,High,0
Male,38,25 - 45,Caucasian,0,2,0,0,4,-1.0,03/02/2013 11:59,05/02/2013 11:05,1.0,(M1),Battery,1,(M2),,03/11/2013,,,0,,,Low,04/02/2013,2,Low,0
Male,46,Greater than 45,Caucasian,3,6,1,0,9,-1.0,20/03/2013 4:00,22/03/2013 1:04,1.0,(F3),Grand Theft in the 3rd Degree,0,,,,,,0,,,Medium,21/03/2013,3,Low,0
Male,22,Less than 25,African-American,0,4,0,1,1,-1.0,15/11/2013 6:56,16/11/2013 7:51,1.0,(F3),Poss Firearm W/Altered ID#,1,(M1),,22/11/2014,,,0,,,Low,16/11/2013,6,Medium,0
Female,34,25 - 45,Caucasian,0,1,0,0,0,0.0,30/07/2014 2:23,30/07/2014 7:49,0.0,(M1),Battery,0,,,,,,0,,,Low,30/07/2014,1,Low,0
Male,22,Less than 25,African-American,0,10,1,2,2,70.0,23/05/2013 1:31,24/09/2013 6:24,114.0,(F3),Sell Conterfeit Cont Substance,1,(M2),0.0,10/09/2015,10/09/2015,,0,,,High,14/03/2013,9,High,0
Male,29,25 - 45,African-American,0,9,0,0,4,-1.0,25/01/2013 10:34,13/02/2013 9:36,1.0,(F3),arrest case no charge,1,(F3),,23/08/2013,,,0,,,High,26/01/2013,5,Medium,0
Male,62,Greater than 45,Hispanic,0,1,0,0,0,0.0,08/01/2013 12:33,08/01/2013 9:41,1.0,(M2),Unlaw LicTag/Sticker Attach,0,,,,,,0,,,Low,08/01/2013,1,Low,0
Male,27,25 - 45,African-American,0,6,1,0,6,0.0,30/04/2014 2:11,30/05/2014 4:59,0.0,(F2),Aggravated Battery / Pregnant,1,(F3),0.0,09/11/2014,09/11/2014,,0,,,Medium,30/04/2014,3,Low,0
Male,33,25 - 45,Other,0,1,0,0,0,-1.0,08/03/2014 1:34,09/03/2014 10:21,1.0,(M1),Battery,0,,,,,,0,,,Low,09/03/2014,1,Low,0
Female,56,Greater than 45,African-American,0,1,0,0,0,0.0,28/09/2013 2:52,01/10/2013 7:39,1.0,(M1),Battery,0,,,,,,0,,,Low,28/09/2013,1,Low,0
Male,45,Greater than 45,Hispanic,0,1,0,0,6,-1.0,12/01/2013 5:43,11/09/2013 4:51,1.0,(F3),Possession of Cocaine,1,(M2),,02/12/2013,,,1,(M1),01/02/2014,Low,13/01/2013,1,Low,0
Male,22,Less than 25,Hispanic,0,4,0,0,1,-1.0,24/05/2013 6:06,25/05/2013 7:28,1.0,(F3),Burglary Structure Unoccup,0,,,,,,0,,,Low,25/05/2013,6,Medium,0
Female,31,25 - 45,Caucasian,0,3,0,0,2,-1.0,07/11/2014 11:56,08/11/2014 8:12,1.0,(F3),Felony Driving While Lic Suspd,0,,,,,,0,,,Low,08/11/2014,2,Low,0
Male,34,25 - 45,African-American,0,4,0,0,0,0.0,09/01/2013 4:31,04/03/2014 6:20,0.0,(F3),False Imprisonment,0,,,,,,0,,,Low,09/01/2013,4,Low,0
Male,39,25 - 45,African-American,0,4,0,0,1,-1.0,06/03/2013 11:23,11/03/2013 9:00,1.0,(M1),arrest case no charge,0,,,,,,0,,,Low,07/03/2013,2,Low,0
Male,24,Less than 25,African-American,0,6,1,0,4,-1.0,20/09/2014 10:06,21/09/2014 7:02,1.0,(M1),Battery,0,,,,,,0,,,Medium,21/09/2014,4,Low,0
Male,29,25 - 45,African-American,0,6,0,0,5,0.0,07/01/2013 2:12,08/01/2013 5:19,0.0,(F3),False Name By Person Arrest,1,(M2),0.0,17/09/2013,17/09/2013,,0,,,Medium,07/01/2013,3,Low,0
Male,27,25 - 45,Caucasian,0,6,0,1,1,-1.0,02/12/2014 3:23,16/12/2014 9:24,1.0,(F3),arrest case no charge,1,(F3),,09/11/2015,,,0,,,Medium,03/12/2014,3,Low,0
Male,41,25 - 45,African-American,0,2,0,0,0,,,,,,,-1,,,,,,0,,,Low,14/08/2014,1,Low,0
Female,24,Less than 25,Hispanic,0,4,0,0,1,-325.0,08/12/2013 9:05,08/12/2013 7:52,325.0,(M2),DUI Property Damage/Injury,0,,,,,,0,,,Low,29/10/2014,2,Low,0
Male,40,25 - 45,African-American,0,2,0,0,2,-15.0,02/07/2013 3:42,05/07/2013 8:13,15.0,(F3),arrest case no charge,0,,,,,,0,,,Low,17/07/2013,1,Low,0
Male,51,Greater than 45,African-American,0,1,0,0,1,-78.0,16/12/2013 11:12,10/02/2014 11:04,78.0,(F3),arrest case no charge,0,,,,,,0,,,Low,04/03/2014,1,Low,0
Male,22,Less than 25,African-American,0,3,0,0,1,0.0,25/08/2013 12:07,11/09/2013 8:04,1.0,(M1),Battery,1,(M2),,06/10/2014,,,0,,,Low,25/08/2013,3,Low,0
Male,22,Less than 25,Caucasian,0,8,0,0,0,-1.0,18/02/2013 12:24,17/04/2013 10:32,1.0,(F3),Grand Theft in the 3rd Degree,0,,,,,,0,,,High,19/02/2013,6,Medium,0
Female,26,25 - 45,African-American,0,4,0,0,1,-1.0,07/11/2013 9:01,09/11/2013 9:07,1.0,(F2),Poss Cocaine/Intent To Del/Sel,1,(M1),0.0,19/11/2013,19/11/2013,,1,(F3),19/11/2013,Low,08/11/2013,3,Low,1
Male,27,25 - 45,Caucasian,0,7,0,0,1,-43.0,08/06/2014 1:02,27/06/2014 9:37,44.0,(F7),Burglary Dwelling Assault/Batt,1,(M1),24.0,05/04/2015,29/04/2015,,1,(M1),05/04/2015,Medium,21/07/2014,8,High,1
Female,59,Greater than 45,African-American,0,1,0,0,2,,,,67.0,(F3),arrest case no charge,0,,,,,,0,,,Low,08/04/2014,1,Low,0
Male,32,25 - 45,Caucasian,0,1,0,0,3,-389.0,22/03/2013 10:41,31/05/2013 3:56,711.0,(M1),Driving Under The Influence,0,,,,,,0,,,Low,15/04/2014,3,Low,0
Male,32,25 - 45,African-American,0,2,0,0,0,-1.0,03/03/2013 3:33,04/03/2013 7:08,1.0,(F3),Felony Battery (Dom Strang),0,,,,,,0,,,Low,04/03/2013,1,Low,0
Male,41,25 - 45,African-American,0,2,0,0,1,-1.0,27/02/2013 9:49,01/03/2013 1:59,5185.0,(M2),arrest case no charge,0,,,,,,0,,,Low,28/02/2013,2,Low,0
Male,50,Greater than 45,Caucasian,0,1,0,0,0,-1.0,25/04/2014 11:34,26/04/2014 1:03,1.0,(M1),Battery,0,,,,,,0,,,Low,26/04/2014,1,Low,0
Male,30,25 - 45,African-American,0,10,0,0,8,-1.0,20/02/2013 2:14,21/02/2013 7:47,1.0,(M1),Possess Cannabis/20 Grams Or Less,1,(M1),0.0,17/04/2013,17/04/2013,,1,(F3),24/04/2015,High,21/02/2013,9,High,0
Male,66,Greater than 45,African-American,0,9,0,0,0,-1.0,16/10/2014 6:36,17/10/2014 8:50,1372.0,(MO3),arrest case no charge,0,,,,,,0,,,High,17/10/2014,3,Low,0
Male,52,Greater than 45,African-American,0,5,0,0,3,-318.0,02/09/2013 4:25,11/09/2013 5:54,1.0,(F3),Driving While License Revoked,0,,,,,,0,,,Medium,17/07/2014,1,Low,0
Male,36,25 - 45,African-American,0,6,0,0,0,,,,,,,-1,,,,,,0,,,Medium,30/08/2013,5,Medium,0
Male,22,Less than 25,Caucasian,0,6,0,0,3,-5.0,19/06/2014 12:38,19/06/2014 8:56,7.0,(F3),Burglary Conveyance Unoccup,0,,,,,,0,,,Medium,24/06/2014,5,Medium,0
Male,50,Greater than 45,Other,0,1,0,0,0,-1.0,06/08/2014 12:43,07/08/2014 8:29,1.0,(F3),arrest case no charge,1,(M2),135.0,05/02/2015,20/06/2015,,0,,,Low,07/08/2014,2,Low,0
Male,25,25 - 45,African-American,1,10,6,1,14,-1.0,19/04/2013 2:20,26/04/2013 5:45,1.0,(F2),arrest case no charge,1,(M1),0.0,29/07/2013,29/07/2013,,1,(M1),09/03/2016,High,20/04/2013,10,High,0
Female,44,25 - 45,Caucasian,0,1,0,0,0,,,,,,,-1,,,,,,0,,,Low,09/11/2014,1,Low,0
Male,20,Less than 25,Other,0,5,0,0,0,-1.0,02/10/2013 5:50,03/10/2013 8:15,1.0,(F3),Tampering With Physical Evidence,1,(F2),0.0,30/01/2014,30/01/2014,,1,(F2),30/01/2014,Medium,03/10/2013,8,High,1
